,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,subj_attention,obj_attention
0,1,1,1,S,S,S,S_S-S,Абонемент на концерт был дорогим из-за участия популярных артистов.,"[0.01620808057487011, 0.00038838598993606865, 0.008813080377876759, 0.0018159101018682122, 0.02601572312414646, 0.025113895535469055, 0.026160692796111107, 0.0057166279293596745, 0.0008594579412601888, 0.003723670495674014, 0.0005165151669643819, 0.0010344028705731034]","[0.023102620616555214, 0.0011832390446215868, 0.007761970162391663, 0.00328258890658617, 0.00401509553194046, 0.0342404805123806, 0.011182509362697601, 0.007454121019691229, 0.0030560337472707033, 0.005128841381520033, 0.0009488866780884564, 0.0021154063288122416]"
1,2,1,1,S,S,P,P_S-S,Абонемент на концерт были дорогими из-за участия популярных артистов.,"[0.012741214595735073, 0.00016234222857747227, 0.006409997586160898, 0.0004899153718724847, 0.011424564756453037, 0.02342008613049984, 0.013416127301752567, 0.004706724546849728, 0.00031438993755728006, 0.003943447023630142, 0.0003275525232311338, 0.00045659535680897534]","[0.02616303600370884, 0.001118417247198522, 0.006947567220777273, 0.002021929481998086, 0.002264053327962756, 0.017781808972358704, 0.006988257169723511, 0.007224846165627241, 0.0022310244385153055, 0.0021199164912104607, 0.0005159901338629425, 0.0004366826906334609]"
2,3,1,1,S,P,S,S_S-P,Абонемент на концерты был дорогим из-за участия популярных артистов.,"[0.016853926703333855, 0.00029446175904013216, 0.00898919627070427, 0.0018024314194917679, 0.020824944600462914, 0.01932358741760254, 0.023264853283762932, 0.005114464554935694, 0.0007238600519485772, 0.003276343224570155, 0.0004908682894892991, 0.0005269492976367474]","[0.009899110533297062, 0.0007226637098938227, 0.007103296462446451, 0.0011817219201475382, 0.002537506865337491, 0.025840163230895996, 0.005928295198827982, 0.0023096820805221796, 0.0028857840225100517, 0.017096275463700294, 0.00032499359804205596, 0.0005386469420045614]"
3,4,1,1,S,P,P,P_S-P,Абонемент на концерты были дорогими из-за участия популярных артистов.,"[0.016162311658263206, 0.00019382208120077848, 0.009213331155478954, 0.0007465776870958507, 0.01357321161776781, 0.015455715358257294, 0.017346959561109543, 0.004178812261670828, 0.00039864020072855055, 0.005025140941143036, 0.000283166446024552, 0.0003860980796162039]","[0.01346172671765089, 0.0015073352260515094, 0.00994765106588602, 0.0009403284639120102, 0.0022964475210756063, 0.016332456842064857, 0.0059167128056287766, 0.002960016718134284, 0.0062363725155591965, 0.02350798435509205, 0.0004908335977233946, 0.0011200038716197014]"
4,5,1,1,P,S,S,S_P-S,Абонементы на концерт был дорогим из-за участия популярных артистов.,"[0.007619936019182205, 0.0003638346679508686, 0.011002662591636181, 0.0011503789573907852, 0.020887382328510284, 0.02893277443945408, 0.020424753427505493, 0.0026793580036610365, 0.0007094041793607175, 0.0056262933649122715, 0.0007153512560762465, 0.0010752169182524085]","[0.018089188262820244, 0.0011762711219489574, 0.00625539431348443, 0.0021228156983852386, 0.0030518912244588137, 0.027465464547276497, 0.013531344942748547, 0.002759557915851474, 0.0022921711206436157, 0.003805695101618767, 0.0015463802265003324, 0.0025356838013976812]"
5,6,1,1,P,S,P,P_P-S,Абонементы на концерт были дорогими из-за участия популярных артистов.,"[0.013923023827373981, 0.0004821863549295813, 0.005361530464142561, 0.0003942301555071026, 0.012711171060800552, 0.017087019979953766, 0.020798495039343834, 0.0026948002632707357, 0.0006291426252573729, 0.003068524645641446, 0.0007711148355156183, 0.0013435706496238708]","[0.030226899310946465, 0.001341910450719297, 0.010685103945434093, 0.0023020438384264708, 0.008311999961733818, 0.027073776349425316, 0.009255951270461082, 0.008800092153251171, 0.002165042096748948, 0.00329390075057745, 0.0006093494012020528, 0.0006148228421807289]"
6,7,1,1,P,P,S,S_P-P,Абонементы на концерты был дорогим из-за участия популярных артистов.,"[0.009633873589336872, 0.0004275761602912098, 0.00878512766212225, 0.0015960432356223464, 0.016769833862781525, 0.020731916651129723, 0.01925426907837391, 0.002054803539067507, 0.0006236541667021811, 0.004992659203708172, 0.000805385468993336, 0.000574709614738822]","[0.005670628044754267, 0.0005682529299519956, 0.005755079444497824, 0.0007620735559612513, 0.00191422738134861, 0.019403180107474327, 0.005562299862504005, 0.0010644366266205907, 0.002069114474579692, 0.014055314473807812, 0.00037415639963001013, 0.0002777055779006332]"
7,8,1,1,P,P,P,P_P-P,Абонементы на концерты были дорогими из-за участия популярных артистов.,"[0.014237378723919392, 0.0003435741236899048, 0.006567507982254028, 0.0003598316106945276, 0.012524534948170185, 0.01295552495867014, 0.024055035784840584, 0.002279317006468773, 0.00045908745960332453, 0.0033630523830652237, 0.0006332378252409399, 0.0007612821646034718]","[0.010844613425433636, 0.0017645239131525159, 0.010428118519484997, 0.0007573624607175589, 0.0049635800532996655, 0.01684523932635784, 0.004972705151885748, 0.0032813309226185083, 0.007372802123427391, 0.013888336718082428, 0.0006003480521030724, 0.0015436079120263457]"
8,1,2,1,S,S,P,P_S-S,Анекдот про экзамен были обидными для строгого пожилого учителя.,"[0.014606731943786144, 0.002591157564893365, 0.050841864198446274, 0.009875806979835033, 0.0359966866672039, 0.07844822853803635, 0.0328495018184185, 0.020141933113336563, 0.006932321935892105, 0.007600579410791397, 0.006341860163956881, 0.007491489872336388]","[0.0019887962844222784, 0.0006008202326484025, 0.0019529132405295968, 0.002329579321667552, 0.0002869357995223254, 0.011591690592467785, 0.00277659366838634, 0.0037824588362127542, 0.00324928923510015, 0.0004476560279726982, 0.0013865692308172584, 0.0005671203252859414]"
9,2,2,1,S,P,S,S_S-P,Анекдот про экзамены был обидным для строгого пожилого учителя.,"[0.023209474980831146, 0.0025581468362361193, 0.053466375917196274, 0.01574108749628067, 0.038174595683813095, 0.058841317892074585, 0.03439905866980553, 0.01899324357509613, 0.008677025325596333, 0.006627349648624659, 0.00457422249019146, 0.005368536338210106]","[0.0016288097249343991, 0.0002828272699844092, 0.0016891959821805358, 0.001216457225382328, 0.00021182959608267993, 0.022338522598147392, 0.002156758913770318, 0.001783585175871849, 0.0021152321714907885, 0.00026162806898355484, 0.000719611591193825, 0.0003442983143031597]"
