,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,subj_attention,obj_attention
0,1,1,1,S,S,S,S_S-S,Абонемент на концерт был дорогим из-за участия популярных артистов.,"[0.0026194381061941385, 0.0016928879776969552, 0.02702724188566208, 0.002218262990936637, 0.09522005170583725, 0.012674901634454727, 0.004529239144176245, 0.005946278106421232, 0.0031761883292347193, 0.007918250747025013, 0.001964258262887597, 0.003437872976064682]","[0.009662248194217682, 0.005433097947388887, 0.04180261492729187, 0.016094539314508438, 0.02743138000369072, 0.01305917464196682, 0.007766304537653923, 0.007766597904264927, 0.010611150413751602, 0.01684313267469406, 0.012352990917861462, 0.016191063448786736]"
1,2,1,1,S,S,P,P_S-S,Абонемент на концерт были дорогими из-за участия популярных артистов.,"[0.0014244663761928678, 0.0009589620749466121, 0.023761039599776268, 0.0011792192235589027, 0.10752790421247482, 0.018822023645043373, 0.0026412878651171923, 0.006370043382048607, 0.0009955681161955, 0.003475913777947426, 0.0008194150868803263, 0.002613043412566185]","[0.01505349762737751, 0.005712946876883507, 0.05109930783510208, 0.014467310160398483, 0.03516141325235367, 0.023004800081253052, 0.006880046799778938, 0.011422988958656788, 0.011067213490605354, 0.019956868141889572, 0.009559848345816135, 0.014666473492980003]"
2,3,1,1,S,P,S,S_S-P,Абонемент на концерты был дорогим из-за участия популярных артистов.,"[0.0024546117056161165, 0.0016265249578282237, 0.029341818764805794, 0.0023841678630560637, 0.07816476374864578, 0.01083454955369234, 0.003952286671847105, 0.0049298289231956005, 0.0037299832329154015, 0.007249561604112387, 0.0018592640990391374, 0.0029792904388159513]","[0.010072944685816765, 0.005806801840662956, 0.03523124381899834, 0.016315050423145294, 0.01808854192495346, 0.007570202928036451, 0.003589192871004343, 0.004062029533088207, 0.011579916812479496, 0.013027526438236237, 0.007197797764092684, 0.015408994629979134]"
3,4,1,1,S,P,P,P_S-P,Абонемент на концерты были дорогими из-за участия популярных артистов.,"[0.0011188373900949955, 0.0006634178571403027, 0.018522828817367554, 0.0006952239200472832, 0.08251803368330002, 0.011718169786036015, 0.0016748331254348159, 0.004668248351663351, 0.0007630561594851315, 0.0031778363045305014, 0.0005444884882308543, 0.0014031109167262912]","[0.015451870858669281, 0.005113431252539158, 0.01927746646106243, 0.012499920092523098, 0.025247815996408463, 0.009322194382548332, 0.003595769638195634, 0.006211116444319487, 0.012543633580207825, 0.014736454002559185, 0.005190262105315924, 0.01896480843424797]"
4,5,1,1,P,S,S,S_P-S,Абонементы на концерт был дорогим из-за участия популярных артистов.,"[0.001560454722493887, 0.001628339639864862, 0.05147704482078552, 0.0012809769250452518, 0.11158233135938644, 0.01720809005200863, 0.0017965076258406043, 0.004401730839163065, 0.0011137333931401372, 0.007501500193029642, 0.0011555553646758199, 0.0013835509307682514]","[0.014906884171068668, 0.007326771505177021, 0.03888193517923355, 0.018749693408608437, 0.025616738945245743, 0.018304146826267242, 0.005640983581542969, 0.00911941472440958, 0.0076315575279295444, 0.021731115877628326, 0.011775154620409012, 0.013969248160719872]"
5,6,1,1,P,S,P,P_P-S,Абонементы на концерт были дорогими из-за участия популярных артистов.,"[0.0016741914441809058, 0.0012368561001494527, 0.01281778421252966, 0.001499213627539575, 0.10548222810029984, 0.007221453357487917, 0.0031182284001260996, 0.004405709449201822, 0.002937865676358342, 0.005521267652511597, 0.0015165439108386636, 0.0035426823887974024]","[0.0072456407360732555, 0.003389564575627446, 0.04864327609539032, 0.010986674576997757, 0.01599511317908764, 0.006894977763295174, 0.004472706466913223, 0.00510985404253006, 0.0070284344255924225, 0.009743936359882355, 0.007132085971534252, 0.009776954539120197]"
6,7,1,1,P,P,S,S_P-P,Абонементы на концерты был дорогим из-за участия популярных артистов.,"[0.0019860516767948866, 0.0018858123803511262, 0.054426152259111404, 0.0016101362416520715, 0.10357160121202469, 0.020294034853577614, 0.0015886197797954082, 0.0036865125875920057, 0.0013113796012476087, 0.006479778792709112, 0.001300246687605977, 0.0012476765550673008]","[0.017685040831565857, 0.006883187685161829, 0.021401748061180115, 0.014472915790975094, 0.018982654437422752, 0.015435989946126938, 0.00281355157494545, 0.007838200777769089, 0.011317020282149315, 0.018071869388222694, 0.006189305335283279, 0.013626983389258385]"
7,8,1,1,P,P,P,P_P-P,Абонементы на концерты были дорогими из-за участия популярных артистов.,"[0.0014364983653649688, 0.0010754220420494676, 0.012714830227196217, 0.001359101035632193, 0.08630340546369553, 0.005323238670825958, 0.002553969621658325, 0.0038019430357962847, 0.002808981342241168, 0.004657551646232605, 0.001266009290702641, 0.0026818097103387117]","[0.009662047028541565, 0.0044447192922234535, 0.017921097576618195, 0.011161737143993378, 0.015143673866987228, 0.004354563541710377, 0.002861972665414214, 0.003889456856995821, 0.01169053465127945, 0.008045998401939869, 0.005778901744633913, 0.016020825132727623]"
8,1,2,1,S,S,P,P_S-S,Анекдот про экзамен были обидными для строгого пожилого учителя.,"[0.0003859901044052094, 0.0016749233473092318, 0.001577794086188078, 0.004606814589351416, 0.0027586272917687893, 0.0013112385058775544, 4.487318801693618e-05, 0.0017981636337935925, 0.0009017996490001678, 0.0003742424014490098, 0.0018135844729840755, 0.003183579770848155]","[8.790185529505834e-05, 0.00047307639033533633, 0.0010159412631765008, 0.0007750249351374805, 0.0007738701533526182, 0.0007643743301741779, 0.00014081403787713498, 0.000154289067722857, 0.00023151056666392833, 0.00010018816828960553, 0.0006755932117812335, 0.00045436646905727684]"
9,2,2,1,S,P,S,S_S-P,Анекдот про экзамены был обидным для строгого пожилого учителя.,"[0.0009059609146788716, 0.0020604110322892666, 0.005150207318365574, 0.010781822726130486, 0.0030322307720780373, 0.0018623941577970982, 9.72462075878866e-05, 0.005255777854472399, 0.0018047065241262317, 0.0009419731795787811, 0.0029619585257023573, 0.004762494936585426]","[0.00012330520257819444, 0.0002117806434398517, 0.0015410346677526832, 0.0010650932090356946, 0.0006294930353760719, 0.0013942224904894829, 0.00011114878725493327, 7.776219717925414e-05, 0.00017958074749913067, 0.00015844697190914303, 0.0005600656731985509, 0.000329155707731843]"
10,3,2,1,S,P,P,P_S-P,Анекдот про экзамены были обидными для строгого пожилого учителя.,"[0.00042858775123022497, 0.0015693682944402099, 0.0038004384841769934, 0.005694547668099403, 0.003497849218547344, 0.0010190471075475216, 5.205114575801417e-05, 0.0019426689250394702, 0.0009948122315108776, 0.0007351314998231828, 0.0016473854193463922, 0.0031170265283435583]","[9.718124783830717e-05, 0.000564545567613095, 0.001469956710934639, 0.0012389321345835924, 0.0008172214147634804, 0.0008714895811863244, 0.00011760656343540177, 0.00011069097672589123, 0.00026912844623439014, 0.00014488538727164268, 0.0006539999158121645, 0.0006815553642809391]"
