,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,subj_attention,obj_attention
0,1,1,1,S,S,S,S_S-S,Абонемент на концерт был дорогим из-за участия популярных артистов.,"[0.021873680874705315, 0.009843499399721622, 0.0016949317650869489, 0.003253798931837082, 0.02875930815935135, 0.00921933725476265, 0.129359170794487, 0.004787858109921217, 0.10379137843847275, 0.0011766214156523347, 0.06450876593589783, 0.05335564166307449]","[0.009370732121169567, 0.002261650050058961, 0.0326107032597065, 0.0002544709132052958, 0.1650310903787613, 0.025560053065419197, 0.045155856758356094, 8.91308081918396e-05, 0.0770651251077652, 1.8696549886954017e-05, 0.02957676351070404, 0.03530607745051384]"
1,2,1,1,S,S,P,P_S-S,Абонемент на концерт были дорогими из-за участия популярных артистов.,"[0.25055834650993347, 0.0066352845169603825, 0.06332487612962723, 0.009525272063910961, 0.014015551656484604, 0.05232402682304382, 0.0947059765458107, 0.01158869918435812, 0.09178847074508667, 0.009987017139792442, 0.0573633573949337, 0.026685044169425964]","[0.004115241579711437, 0.002006223425269127, 0.029386499896645546, 0.0014491206966340542, 0.16322487592697144, 0.05943701043725014, 0.04798570275306702, 0.0003161975182592869, 0.11514148116111755, 0.0008681663894094527, 0.03520634025335312, 0.026326026767492294]"
2,3,1,1,S,P,S,S_S-P,Абонемент на концерты был дорогим из-за участия популярных артистов.,"[0.01598852127790451, 0.009336159564554691, 0.0016392911784350872, 0.004015457350760698, 0.01697671040892601, 0.017854999750852585, 0.13278089463710785, 0.0071356454864144325, 0.08250058442354202, 0.0016201682155951858, 0.05792611092329025, 0.05908193811774254]","[0.2139502763748169, 0.00212574633769691, 0.08299192041158676, 0.0008286235388368368, 0.11738422513008118, 0.04212234914302826, 0.045248936861753464, 0.000418046343838796, 0.07888947427272797, 0.00038249968201853335, 0.0844443067908287, 0.034470830112695694]"
3,4,1,1,S,P,P,P_S-P,Абонемент на концерты были дорогими из-за участия популярных артистов.,"[0.26655474305152893, 0.004031578544527292, 0.04278488829731941, 0.00839278195053339, 0.008030389435589314, 0.054920744150877, 0.10364320129156113, 0.01198896486312151, 0.07008511573076248, 0.010272997431457043, 0.05643738433718681, 0.027877284213900566]","[0.007403175812214613, 0.001757943187840283, 0.0033972798846662045, 0.0011187188792973757, 0.10604961961507797, 0.03671765327453613, 0.0536956749856472, 0.026192983612418175, 0.14160965383052826, 0.0022451099939644337, 0.058731433004140854, 0.0189460851252079]"
4,5,1,1,P,S,S,S_P-S,Абонементы на концерт был дорогим из-за участия популярных артистов.,"[0.2411508560180664, 0.004738521296530962, 0.14390283823013306, 0.011468198150396347, 0.019936377182602882, 0.07803371548652649, 0.07344833761453629, 0.02240104228258133, 0.06967146694660187, 0.005818834528326988, 0.07112713903188705, 0.053641386330127716]","[0.0034319369588047266, 0.00827773753553629, 0.004633887205272913, 0.0017740707844495773, 0.17158927023410797, 0.053157415241003036, 0.1509152501821518, 0.0036325922701507807, 0.09277281910181046, 0.0005927351885475218, 0.037926480174064636, 0.03952649608254433]"
5,6,1,1,P,S,P,P_P-S,Абонементы на концерт были дорогими из-за участия популярных артистов.,"[0.015380188822746277, 0.001603159005753696, 0.000629863643553108, 0.0029613471124321222, 0.007679407950490713, 0.005375249776989222, 0.07283660024404526, 0.002607230795547366, 0.072844497859478, 0.0007027604151517153, 0.057192444801330566, 0.023578599095344543]","[0.027560021728277206, 0.0003253710747230798, 0.07228616625070572, 0.0004920875071547925, 0.2298685610294342, 0.1464768350124359, 0.11184728890657425, 8.996295946417376e-05, 0.3363634943962097, 0.00015483897004742175, 0.0490519255399704, 0.025719773024320602]"
6,7,1,1,P,P,S,S_P-P,Абонементы на концерты был дорогим из-за участия популярных артистов.,"[0.22109755873680115, 0.0035635819658637047, 0.09702705591917038, 0.00988773349672556, 0.015010146424174309, 0.07288364320993423, 0.08408858627080917, 0.020016640424728394, 0.06054374948143959, 0.0059584444388747215, 0.06873926520347595, 0.043595071882009506]","[0.009386584162712097, 0.0016350341029465199, 0.015188291668891907, 0.001665796502493322, 0.09205549955368042, 0.03196946159005165, 0.030399804934859276, 0.0014071767218410969, 0.04113879054784775, 0.0022853820119053125, 0.05905763804912567, 0.020679159089922905]"
7,8,1,1,P,P,P,P_P-P,Абонементы на концерты были дорогими из-за участия популярных артистов.,"[0.01757645048201084, 0.0012875358806923032, 0.000333137228153646, 0.0024998888839036226, 0.006100417580455542, 0.00451329629868269, 0.061111073940992355, 0.002836856059730053, 0.06560995429754257, 0.0005916898953728378, 0.04346650838851929, 0.014695815742015839]","[0.028258420526981354, 0.0003496304270811379, 0.0037467642687261105, 0.00027135477284900844, 0.11579139530658722, 0.07324729859828949, 0.03455936536192894, 0.0001302605087403208, 0.171051487326622, 0.0001405027142027393, 0.03410088270902634, 0.014639528468251228]"
8,1,2,1,S,S,P,P_S-S,Анекдот про экзамен были обидными для строгого пожилого учителя.,"[0.18193571269512177, 0.0008831007871776819, 0.05990159884095192, 0.0015803637215867639, 0.006125772837549448, 0.03347240015864372, 0.07238346338272095, 0.007443152368068695, 0.10760395973920822, 0.0037884898483753204, 0.0401388481259346, 0.003618256887421012]","[0.0028669959865510464, 0.00016986676200758666, 0.011245365254580975, 0.0003445148468017578, 0.07608656585216522, 0.011381944641470909, 0.027410604059696198, 0.003061461728066206, 0.04498860239982605, 0.002871884498745203, 0.01013295166194439, 0.001986654009670019]"
9,2,2,1,S,P,S,S_S-P,Анекдот про экзамены был обидным для строгого пожилого учителя.,"[0.03370624780654907, 0.001229518442414701, 0.00109976960811764, 0.0009313371847383678, 0.022477639839053154, 0.023790212348103523, 0.07098324596881866, 0.007639043964445591, 0.11620701849460602, 0.0011178271379321814, 0.03374985605478287, 0.0057008955627679825]","[0.0009326484869234264, 0.0004056084144394845, 0.001079053501598537, 0.00023039539519231766, 0.039982039481401443, 0.008779617957770824, 0.009253387339413166, 0.00043733842903748155, 0.017280014231801033, 0.00025587703566998243, 0.014439832419157028, 0.00405498780310154]"
10,3,2,1,S,P,P,P_S-P,Анекдот про экзамены были обидными для строгого пожилого учителя.,"[0.03652627393603325, 0.00023074813361745328, 0.020223399624228477, 0.0009810312185436487, 0.0017854468896985054, 0.04340746998786926, 0.010726090520620346, 0.003535512136295438, 0.02059822715818882, 0.0005186453927308321, 0.020968066528439522, 0.001758960192091763]","[0.007095301989465952, 0.0005596987321041524, 0.0018276007613167167, 0.0005409439327195287, 0.08131679892539978, 0.0070833489298820496, 0.14805573225021362, 0.029229402542114258, 0.1357458382844925, 0.003029994433745742, 0.026286305859684944, 0.006030756514519453]"
11,4,2,1,P,S,S,S_P-S,Анекдоты про экзамен был обидным для строгого пожилого учителя.,"[0.11285421997308731, 0.000522721151355654, 0.07310927659273148, 0.0014049080200493336, 0.012104007415473461, 0.030637143179774284, 0.0206151120364666, 0.0053447154350578785, 0.05166217312216759, 0.0011972280917689204, 0.026807790622115135, 0.0037432704120874405]","[0.005519764963537455, 0.001738431747071445, 0.004234716761857271, 0.00025745961465872824, 0.11129689961671829, 0.01842009276151657, 0.10887587815523148, 0.004413960501551628, 0.09138128906488419, 0.0031634874176234007, 0.02072150819003582, 0.005255164112895727]"
12,5,2,1,P,S,P,P_P-S,Анекдоты про экзамен были обидными для строгого пожилого учителя.,"[0.09488911926746368, 0.0010693820659071207, 0.0016721982974559069, 0.0010038615437224507, 0.012723814696073532, 0.009061596356332302, 0.042714934796094894, 0.0065242028795182705, 0.11723429709672928, 0.0009729533339850605, 0.023694558069109917, 0.00881984829902649]","[0.0014950286131352186, 8.508664177497849e-05, 0.0015297501813620329, 0.00015303095278795809, 0.05416472256183624, 0.023969123139977455, 0.009477771818637848, 0.0004809000820387155, 0.03590824082493782, 0.00022423005430027843, 0.010000406764447689, 0.002020997693762183]"
