,comparison,p-value,significant
0,S_S-S - S_P-S,1.0,False
1,S_S-S - S_S-P,1.0,False
2,S_S-S - S_P-P,1.0,False
3,S_S-S - P_S-S,0.5380256348318028,False
4,S_S-S - P_P-S,1.0,False
5,S_S-S - P_S-P,0.08967832759057336,False
6,S_S-S - P_P-P,0.11474403309073813,False
7,S_P-S - S_S-P,1.0,False
8,S_P-S - S_P-P,1.0,False
9,S_P-S - P_S-S,1.0,False
10,S_P-S - P_P-S,1.0,False
11,S_P-S - P_S-P,1.0,False
12,S_P-S - P_P-P,1.0,False
13,S_S-P - S_P-P,1.0,False
14,S_S-P - P_S-S,1.0,False
15,S_S-P - P_P-S,1.0,False
16,S_S-P - P_S-P,0.015368953655706888,True
17,S_S-P - P_P-P,1.0,False
18,S_P-P - P_S-S,1.0,False
19,S_P-P - P_P-S,1.0,False
20,S_P-P - P_S-P,1.0,False
21,S_P-P - P_P-P,1.0,False
22,P_S-S - P_P-S,1.0,False
23,P_S-S - P_S-P,0.6228631644892187,False
24,P_S-S - P_P-P,1.0,False
25,P_P-S - P_S-P,0.9608650909454183,False
26,P_P-S - P_P-P,0.08323013266672233,False
27,P_S-P - P_P-P,1.0,False
