,comparison,p-value,significant
0,S_S-S - S_P-S,0.00013486581731609045,True
1,S_S-S - S_S-P,0.008839718476248235,True
2,S_S-S - S_P-P,1.0455299907029787e-05,True
3,S_S-S - P_S-S,0.004807032523310484,True
4,S_S-S - P_P-S,0.002128919191113197,True
5,S_S-S - P_S-P,2.431592329410026e-06,True
6,S_S-S - P_P-P,0.3718940608551875,False
7,S_P-S - S_S-P,1.0,False
8,S_P-S - S_P-P,0.008733347722825488,True
9,S_P-S - P_S-S,1.0,False
10,S_P-S - P_P-S,1.2740141054445939e-06,True
11,S_P-S - P_S-P,0.01541636009483857,True
12,S_P-S - P_P-P,1.0,False
13,S_S-P - S_P-P,0.012914234373103751,True
14,S_S-P - P_S-S,1.0,False
15,S_S-P - P_P-S,0.0009375075243156021,True
16,S_S-P - P_S-P,3.532143647453671e-05,True
17,S_S-P - P_P-P,0.6823866388614388,False
18,S_P-P - P_S-S,1.0,False
19,S_P-P - P_P-S,1.0803630808226697e-06,True
20,S_P-P - P_S-P,1.0,False
21,S_P-P - P_P-P,0.0004798831215718055,True
22,P_S-S - P_P-S,1.658017091577016e-06,True
23,P_S-S - P_S-P,1.0,False
24,P_S-S - P_P-P,1.0,False
25,P_P-S - P_S-P,7.387390667663476e-07,True
26,P_P-S - P_P-P,0.0007583248725220529,True
27,P_S-P - P_P-P,3.4632941000210375e-06,True
